block,case_id,seed,label_method,contingency_tensor,model_variant,warmup_on,gate_reg_on,risk_weight_on,preset,metapath_topk,hidden_dim,epochs,lr,weight_decay,train_ratio,risk_weight_alpha,risk_weight_beta,risk_weight_threshold,risk_weight_on_metapath_only,metapath_gate_reg_lambda,metapath_attention_entropy_reg_lambda,metapath_warmup_epochs,run_baseline_comparison
B,B_label-wang_qmc_warmup-0_gate-1_riskw-1_seed-45,45,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,metapath_v1,False,True,True,factorial,3,80,700,0.00315,0.00015,0.7,1.0,2.0,0.1,False,0.0002,0.0,0,False
B,B_label-wang_qmc_warmup-1_gate-0_riskw-0_seed-45,45,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,metapath_v1,True,False,False,factorial,3,80,700,0.00315,0.00015,0.7,0.0,0.0,0.1,False,0.0,0.0,12,False
B,B_label-wang_qmc_warmup-1_gate-0_riskw-1_seed-45,45,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,metapath_v1,True,False,True,factorial,3,80,700,0.00315,0.00015,0.7,1.0,2.0,0.1,False,0.0,0.0,12,False
B,B_label-wang_qmc_warmup-1_gate-1_riskw-0_seed-45,45,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,metapath_v1,True,True,False,factorial,3,80,700,0.00315,0.00015,0.7,0.0,0.0,0.1,False,0.0002,0.0,12,False
B,B_label-wang_qmc_warmup-1_gate-1_riskw-1_seed-45,45,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,metapath_v1,True,True,True,factorial,3,80,700,0.00315,0.00015,0.7,1.0,2.0,0.1,False,0.0002,0.0,12,False
B,B_label-c3po_ref_warmup-0_gate-0_riskw-0_seed-46,46,c3po_ref,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,metapath_v1,False,False,False,factorial,3,80,700,0.00315,0.00015,0.7,0.0,0.0,0.1,False,0.0,0.0,0,False
B,B_label-c3po_ref_warmup-0_gate-0_riskw-1_seed-46,46,c3po_ref,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,metapath_v1,False,False,True,factorial,3,80,700,0.00315,0.00015,0.7,1.0,2.0,0.1,False,0.0,0.0,0,False
B,B_label-c3po_ref_warmup-0_gate-1_riskw-0_seed-46,46,c3po_ref,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,metapath_v1,False,True,False,factorial,3,80,700,0.00315,0.00015,0.7,0.0,0.0,0.1,False,0.0002,0.0,0,False
B,B_label-c3po_ref_warmup-0_gate-1_riskw-1_seed-46,46,c3po_ref,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,metapath_v1,False,True,True,factorial,3,80,700,0.00315,0.00015,0.7,1.0,2.0,0.1,False,0.0002,0.0,0,False
B,B_label-c3po_ref_warmup-1_gate-0_riskw-0_seed-46,46,c3po_ref,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,metapath_v1,True,False,False,factorial,3,80,700,0.00315,0.00015,0.7,0.0,0.0,0.1,False,0.0,0.0,12,False
B,B_label-c3po_ref_warmup-1_gate-0_riskw-1_seed-46,46,c3po_ref,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,metapath_v1,True,False,True,factorial,3,80,700,0.00315,0.00015,0.7,1.0,2.0,0.1,False,0.0,0.0,12,False
B,B_label-c3po_ref_warmup-1_gate-1_riskw-0_seed-46,46,c3po_ref,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,metapath_v1,True,True,False,factorial,3,80,700,0.00315,0.00015,0.7,0.0,0.0,0.1,False,0.0002,0.0,12,False
B,B_label-c3po_ref_warmup-1_gate-1_riskw-1_seed-46,46,c3po_ref,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,metapath_v1,True,True,True,factorial,3,80,700,0.00315,0.00015,0.7,1.0,2.0,0.1,False,0.0002,0.0,12,False
B,B_label-wang_qmc_warmup-0_gate-0_riskw-0_seed-46,46,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,metapath_v1,False,False,False,factorial,3,80,700,0.00315,0.00015,0.7,0.0,0.0,0.1,False,0.0,0.0,0,False
B,B_label-wang_qmc_warmup-0_gate-0_riskw-1_seed-46,46,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,metapath_v1,False,False,True,factorial,3,80,700,0.00315,0.00015,0.7,1.0,2.0,0.1,False,0.0,0.0,0,False
B,B_label-wang_qmc_warmup-0_gate-1_riskw-0_seed-46,46,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,metapath_v1,False,True,False,factorial,3,80,700,0.00315,0.00015,0.7,0.0,0.0,0.1,False,0.0002,0.0,0,False
B,B_label-wang_qmc_warmup-0_gate-1_riskw-1_seed-46,46,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,metapath_v1,False,True,True,factorial,3,80,700,0.00315,0.00015,0.7,1.0,2.0,0.1,False,0.0002,0.0,0,False
B,B_label-wang_qmc_warmup-1_gate-0_riskw-0_seed-46,46,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,metapath_v1,True,False,False,factorial,3,80,700,0.00315,0.00015,0.7,0.0,0.0,0.1,False,0.0,0.0,12,False
B,B_label-wang_qmc_warmup-1_gate-0_riskw-1_seed-46,46,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,metapath_v1,True,False,True,factorial,3,80,700,0.00315,0.00015,0.7,1.0,2.0,0.1,False,0.0,0.0,12,False
B,B_label-wang_qmc_warmup-1_gate-1_riskw-0_seed-46,46,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,metapath_v1,True,True,False,factorial,3,80,700,0.00315,0.00015,0.7,0.0,0.0,0.1,False,0.0002,0.0,12,False
B,B_label-wang_qmc_warmup-1_gate-1_riskw-1_seed-46,46,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,metapath_v1,True,True,True,factorial,3,80,700,0.00315,0.00015,0.7,1.0,2.0,0.1,False,0.0002,0.0,12,False
C,C_label-c3po_ref_preset-old_seed-42,42,c3po_ref,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,metapath_v1,False,False,False,old,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,False,0.0,0.0,0,False
C,C_label-c3po_ref_preset-new_seed-42,42,c3po_ref,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,metapath_v1,True,True,True,new,3,80,700,0.00315,0.00015,0.7,1.0,2.0,0.1,False,0.0002,0.0,12,False
C,C_label-wang_qmc_preset-old_seed-42,42,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,metapath_v1,False,False,False,old,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,False,0.0,0.0,0,False
C,C_label-wang_qmc_preset-new_seed-42,42,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,metapath_v1,True,True,True,new,3,80,700,0.00315,0.00015,0.7,1.0,2.0,0.1,False,0.0002,0.0,12,False
C,C_label-c3po_ref_preset-old_seed-43,43,c3po_ref,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,metapath_v1,False,False,False,old,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,False,0.0,0.0,0,False
C,C_label-c3po_ref_preset-new_seed-43,43,c3po_ref,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,metapath_v1,True,True,True,new,3,80,700,0.00315,0.00015,0.7,1.0,2.0,0.1,False,0.0002,0.0,12,False
C,C_label-wang_qmc_preset-old_seed-43,43,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,metapath_v1,False,False,False,old,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,False,0.0,0.0,0,False
C,C_label-wang_qmc_preset-new_seed-43,43,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,metapath_v1,True,True,True,new,3,80,700,0.00315,0.00015,0.7,1.0,2.0,0.1,False,0.0002,0.0,12,False
C,C_label-c3po_ref_preset-old_seed-44,44,c3po_ref,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,metapath_v1,False,False,False,old,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,False,0.0,0.0,0,False
C,C_label-c3po_ref_preset-new_seed-44,44,c3po_ref,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,metapath_v1,True,True,True,new,3,80,700,0.00315,0.00015,0.7,1.0,2.0,0.1,False,0.0002,0.0,12,False
C,C_label-wang_qmc_preset-old_seed-44,44,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,metapath_v1,False,False,False,old,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,False,0.0,0.0,0,False
C,C_label-wang_qmc_preset-new_seed-44,44,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,metapath_v1,True,True,True,new,3,80,700,0.00315,0.00015,0.7,1.0,2.0,0.1,False,0.0002,0.0,12,False
C,C_label-c3po_ref_preset-old_seed-45,45,c3po_ref,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,metapath_v1,False,False,False,old,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,False,0.0,0.0,0,False
C,C_label-c3po_ref_preset-new_seed-45,45,c3po_ref,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,metapath_v1,True,True,True,new,3,80,700,0.00315,0.00015,0.7,1.0,2.0,0.1,False,0.0002,0.0,12,False
C,C_label-wang_qmc_preset-old_seed-45,45,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,metapath_v1,False,False,False,old,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,False,0.0,0.0,0,False
C,C_label-wang_qmc_preset-new_seed-45,45,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,metapath_v1,True,True,True,new,3,80,700,0.00315,0.00015,0.7,1.0,2.0,0.1,False,0.0002,0.0,12,False
C,C_label-c3po_ref_preset-old_seed-46,46,c3po_ref,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,metapath_v1,False,False,False,old,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,False,0.0,0.0,0,False
C,C_label-c3po_ref_preset-new_seed-46,46,c3po_ref,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,metapath_v1,True,True,True,new,3,80,700,0.00315,0.00015,0.7,1.0,2.0,0.1,False,0.0002,0.0,12,False
C,C_label-wang_qmc_preset-old_seed-46,46,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,metapath_v1,False,False,False,old,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,False,0.0,0.0,0,False
C,C_label-wang_qmc_preset-new_seed-46,46,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,metapath_v1,True,True,True,new,3,80,700,0.00315,0.00015,0.7,1.0,2.0,0.1,False,0.0002,0.0,12,False
